Symbol,Name,ISIN,CUSIP,Country,Expense_Ratio,AUM,Num_Holdings,Last_Updated,TickerIfSynth
EUSR.L,UBS MSCI EMU Socially Responsible UCITS ETF hGBP dis,LU1280300853,,LU,0.23,1447280000.0,74,2025-08-16 13:22:37,
PTPXE.PA,Amundi ETF PEA Japan Topix UCITS ETF,FR0013411980,,FR,0.2,112128176.0,1501,2025-08-16 13:22:39,JPN.PA
PAEJ.PA,Amundi PEA Asie Pacifique (MSCI AC Asia Pacific Ex Japan) UCITS ETF Acc,FR0011869312,,FR,0.6,74632359.0,31,2025-08-16 13:22:42,HP2A.DE
INDA.DE,Amundi STOXX Europe 600 Banks UCITS ETF Dist,LU2082996112,,LU,0.3,1708232833.0,71,2025-08-16 13:22:45,EXV1.DE
WTEE.DE,WisdomTree Europe Equity Income UCITS ETF,IE00BQZJBX31,,DE,0.29,74499678.0,251,2025-08-16 13:22:49,
EHLT.DE,Amundi STOXX Europe 600 Healthcare UCITS ETF Dist,LU2082997516,,LU,0.3,764604807.0,55,2025-08-15 00:02:19,
PASI.PA,Amundi PEA Chine (MSCI China) Screened UCITS ETF Acc,FR0011871078,,FR,0.65,62789948.0,567,2025-08-16 13:22:53,ICGA.DE
TRV.PA,Amundi STOXX Europe 600 Consumer Discretionary UCITS ETF Acc,LU1834988781,,LU,0.3,69816405.0,33,2025-08-15 00:02:27,
ZPRL.DE,SPDR EURO STOXX Low Volatility UCITS ETF EUR,IE00BFTWP510,,IE,0.3,52030000.0,104,2025-08-16 13:23:01,
PR1Z.DE,Amundi Prime Eurozone UCITS ETF DR (D),LU1931974429,,LU,0.05,124087581.0,201,2025-08-16 13:23:05,
COSE.PA,Amundi PEA S&P US Consumer Staples Screened UCITS ETF Acc,,,,,,41,2025-08-16 13:23:07,ZPDS.DE
C4D.PA,Amundi CAC 40 ESG UCITS ETF DR - EUR (D),LU1681047079,,LU,0.25,734506197.0,41,2025-08-16 13:23:10,
TELE.PA,Amundi STOXX Europe 600 Telecommunications UCITS ETF Acc,LU1834988609,,LU,0.3,44422867.0,33,2025-08-16 13:23:12,EXV2.DE
EGRA.PA,WisdomTree Eurozone Quality Dividend Growth UCITS ETF EUR Acc,,,,,,93,2025-08-16 13:23:15,
C50U.PA,Amundi EURO STOXX 50 UCITS ETF DR USD (C),LU1681047400,,LU,0.09,4059384209.0,58,2025-08-16 13:23:17,
DFOP.DE,Amundi STOXX Europe 600 Consumer Staples UCITS ETF Dist,LU2082997359,,LU,0.3,115289041.0,47,2025-08-15 00:02:58,
PMEH.PA,Amundi PEA Immobilier Europe (FTSE EPRA/NAREIT) UCITS ETF Acc,FR0011869304,,FR,0.4,32639965.0,32,2025-08-16 13:23:18,H4ZL.DE
INDU.DE,Amundi STOXX Europe 600 Industrials UCITS ETF Dist,LU2082997789,,LU,0.3,236877072.0,34,2025-08-15 00:03:02,
USVE.PA,Amundi PEA MSCI USA Value Advanced UCITS ETF Acc,,,,,,153,2025-08-16 13:23:21,QDVI.DE
PTPXH.PA,Amundi ETF PEA Japan Topix UCITS ETF EUR Hedged,FR0013411998,,FR,0.48,112128176.0,1501,2025-08-16 13:23:24,JPN.PA
CSTA.DE,Amundi STOXX Europe 600 Technology UCITS ETF Dist,LU2082998837,,LU,0.3,185762172.0,39,2025-08-16 13:23:27,EXV3.DE
EGV1.DE,Amundi STOXX Europe 600 Insurance UCITS ETF Dist,LU2082997946,,LU,0.3,124004694.0,40,2025-08-16 13:23:30,EXH5.DE
PLEM.PA,Amundi PEA MSCI Emerging EMEA ESG Leaders UCITS ETF Acc,FR0011440478,,FR,0.55,32439764.0,30,2025-08-15 00:03:11,
MFDD.MI,Amundi MSCI EMU ESG Broad Transition UCITS ETF Dist,,,,,,210,2025-08-16 13:23:33,
PALAT.PA,Amundi PEA MSCI Emerging Latin America Selection UCITS ETF Acc,FR0013412004,,FR,0.3,32474348.0,99,2025-08-16 13:23:35,IUSC.DE
E6BR.DE,Amundi STOXX Europe 600 Basic Resources UCITS ETF Dist,,,,,,28,2025-08-16 13:23:39,EXV6.DE
LUTL.DE,Amundi STOXX Europe 600 Utilities UCITS ETF Dist,,,,,,37,2025-08-16 13:23:42,EXH9.DE
6TVL.DE,Amundi STOXX Europe 600 Consumer Discretionary UCITS ETF Dist,LU2082999132,,LU,0.3,69816405.0,33,2025-08-15 00:03:30,
AEME.PA,Amundi Index MSCI Emerging Markets UCITS ETF DR,LU1437017350,,LU,0.18,6048324798.0,1195,2025-08-16 13:23:50,
LQQ.PA,Amundi Nasdaq-100 Daily (2x) Leveraged UCITS ETF Acc,FR0010342592,,FR,0.6,1008324976.0,107,2025-08-16 13:23:53,SXRV.DE
AWAT.PA,Amundi PEA Eau (MSCI Water) UCITS ETF Capi,FR0011882364,,FR,0.6,116718396.0,39,2025-08-16 13:23:56,WAT.PA
TNOW.PA,Amundi MSCI World Information Technology UCITS ETF EUR Acc,LU0533033667,,LU,0.3,2451425211.0,153,2025-08-16 13:23:59,XDWT.DE
DFND.L,iShares Global Aerospace & Defence UCITS ETF USD (Acc),,,,,,81,2025-08-16 13:24:02,
LEM.PA,Amundi MSCI Emerging Markets III UCITS ETF EUR Acc,FR0010429068,,FR,0.55,893845751.0,3140,2025-08-16 13:24:04,IS3N.DE
